"","Group.1","x","distance","efficiency"
"1","Other",61.8815225797915,14.4929771727723,4.26975919730607
"2","large employers & higher management",111.480086011023,27.4813400867084,4.05657386645933
"3","higher professional",72.8061665209736,17.8239782813612,4.08473155496987
"4","lower management & professional",55.8495408429,14.5451476087968,3.83973695867634
"5","intermediate",29.2580091197067,8.05392709760797,3.63276309372063
"6","small employers & own account",0,0,NA
"7","lower supervisory & technical",39.317831813814,10.5055633206277,3.74257244603089
"8","semi-routine",20.0478579894812,8.41945897506348,2.38113375798354
"9","routine",26.1385233441632,8.10224620319053,3.22608356851342
