"","Group.1","x","distance","efficiency"
"1","Other",59.6628754506075,15.2486549806552,3.91266479084858
"2","large employers & higher management",118.879287952186,28.3836672955286,4.18829909167211
"3","higher professional",85.632802321188,19.9317079662914,4.29631030446615
"4","lower management & professional",59.3628083853673,16.2668193166797,3.64931872849276
"5","intermediate",46.8947440599508,12.0659149334278,3.88654688174802
"6","small employers & own account",0,0,NA
"7","lower supervisory & technical",58.1596826008818,14.8413086024706,3.91877051806605
"8","semi-routine",27.6642417848856,13.6924866496967,2.02039574641458
"9","routine",42.2591198076773,12.6658915620481,3.3364504662508
