"","Group.1","x","distance","efficiency"
"1","Other",87.3752671859171,21.0349899136222,4.15380599395168
"2","large employers & higher management",141.33599223454,39.5523233455744,3.57339292055405
"3","higher professional",101.761813007454,27.2863873217022,3.7293985388281
"4","lower management & professional",65.5491419300463,21.8972465025699,2.99348787631145
"5","intermediate",16.9506566668992,7.45755452110604,2.27295108858088
"6","small employers & own account",0,0,NA
"7","lower supervisory & technical",16.4060343720657,8.82148243836003,1.85978201359042
"8","semi-routine",9.6117471998074,11.1112653995662,0.865045235998294
"9","routine",9.10811341786038,5.78750431951087,1.57375492354365
