LA Region Name,LAD10CD,Year,A. Industry and Commercial Electricity,B. Industry and Commercial Gas,C. Large Industrial Installations,D. Industrial and Commercial Other Fuels,E. Agricultural Combustion,Industry and Commercial Total,F. Domestic Electricity,G. Domestic Gas,H. Domestic 'Other Fuels',Domestic Total,I. Road Transport (A roads),J. Road Transport (Motorways),K. Road Transport (Minor roads),L. Diesel Railways,M. Transport Other,Transport Total,N. LULUCF Net Emissions,Grand Total,"Population                                              ('000s, mid-year estimate)",Per Capita Emissions (t)
Weymouth and Portland,19UJ,2005,64.9,19.4,0,10.2,0.8,95.4,66.2,76.8,4.6,147.5,39.8,0,42.4,2.5,1.1,85.7,1.7,330.4,64.8,5.1
Dorset Total,,2005,561.3,146.4,0,155.2,69.8,932.7,493.4,456.4,155.9,1105.7,536.1,0,366.8,16.6,15.8,935.4,11.5,2985.3,403.5,7.4
Cheltenham,23UB,2005,185.8,62.7,1.1,24.2,0.9,274.7,119.3,144.4,3.9,267.6,45.9,0,58.1,3.2,0.8,107.9,1.3,651.5,110.9,5.9
Cotswold,23UC,2005,107.3,34.9,1.6,55.6,26.2,225.5,125,81.9,61.1,267.9,239.6,0,88.5,2.1,5.1,335.3,21.1,849.8,82.2,10.3
Forest of Dean,23UD,2005,148.3,51.1,0,67.9,12.7,280,101.2,65.2,64.7,231.1,75.1,44.6,66,14.8,1.2,201.6,-10.9,701.8,81.5,8.6
Gloucester,23UE,2005,218.5,57.2,0.1,29.7,0.5,306,116.4,136.5,5.1,258,71.5,0,58.4,3.6,3.9,137.3,-0.7,700.6,113.9,6.2
Stroud,23UF,2005,159.9,67.4,0.1,57.9,14.1,299.4,134.4,131.3,22,287.6,79.9,260.7,92.6,6.9,8,448,-3.1,1031.9,110.1,9.4
Tewkesbury,23UG,2005,168.7,79,0.5,66.3,11.5,326.1,90,90.4,13.6,193.9,116.8,220,66.3,4.8,18.8,426.6,10.9,957.4,78.3,12.2
Gloucestershire Total,,2005,988.6,352.3,3.3,301.5,65.9,1711.7,686.1,649.6,170.3,1506,628.7,525.3,429.8,35.3,37.6,1656.8,18.5,4893,576.9,8.5
Isles of Scilly,00HF,2005,5,0,0,0.6,0,5.6,4.6,0,4.3,8.9,0.5,0,0.1,0,3,3.5,0,18.1,2.2,8.2
North Somerset,00HC,2005,233.8,140.8,0,71.1,13.5,459.1,209.7,239.9,43.4,493,120.5,273.8,173.8,6.6,13.2,587.8,31.8,1571.7,194.7,8.1
Plymouth,00HG,2005,394.8,130.8,5.3,55,0.7,586.6,243.9,271.6,8.1,523.6,153.5,0,198.7,1.4,4.2,357.8,2,1470.1,247.5,5.9
Poole,00HP,2005,247,83.9,0,57,0.4,388.3,153.2,196.9,5.4,355.5,89.9,0,111.1,1,0.9,202.9,-1.3,945.4,139.9,6.8
Mendip,40UB,2005,192.1,48.5,74.5,76.6,27,418.7,122.3,106,53.1,281.5,151.4,0,109.5,22.2,1.1,284.1,93,1077.2,106.3,10.1
Sedgemoor,40UC,2005,196.3,99,120.5,69.7,20.2,505.7,134.9,91.6,64.2,290.6,113,209.6,76.3,5,1.8,405.6,81.7,1283.5,109.7,11.7
South Somerset,40UD,2005,239.6,87.4,15.1,110.5,30.8,483.3,202.8,127.1,98.6,428.5,259.9,0,119.9,20,1.4,401.1,47.1,1360.1,156.5,8.7
Taunton Deane,40UE,2005,150.2,37.8,0,40.8,14.3,243.2,120.8,107.1,37.9,265.7,98.4,143.1,85.5,5.1,1.4,333.4,8.8,851.2,106.8,8
West Somerset,40UF,2005,80.8,70.3,4.4,6.5,22,183.9,51,23.1,32.4,106.5,32.9,0,66.7,0,1.4,101,3.5,394.9,35,11.3
Somerset Total,,2005,859,343,214.4,304.1,114.3,1834.8,631.8,454.8,286.2,1372.8,655.5,352.7,457.8,52.2,7.1,1525.3,234.1,4967,514.3,9.7
South Gloucestershire,00HD,2005,534.6,147.8,285.6,89.2,14.8,1071.9,260.8,279.4,42.9,583,184.8,567.7,235.1,19.5,4,1011.1,17,2683,253.2,10.6
Swindon,00HX,2005,484.4,136.9,10.1,75.7,5.1,712.1,194.1,241.6,19,454.7,140.1,143.3,182.5,2.8,6.3,475,5.4,1647.2,189.7,8.7
Torbay,00HH,2005,161.3,57.3,0.1,21.7,1,241.3,144,163.2,6.1,313.3,64.3,0,90.8,0.3,1.4,156.8,2.2,713.6,132.2,5.4
Wiltshire,00HY,2005,724.1,264.3,436.7,267.6,89.2,1781.8,566.3,419.7,273.1,1259.1,675,330.2,352.4,51.5,10.2,1419.3,51.6,4511.8,448.7,10.1
South West Total,,2005,8255.3,3033.6,1079.1,2056.7,717,15141.7,5980.9,5309.7,1869.4,13160,5534.6,2540.4,3973.6,257.9,134.9,12441.4,734.3,41477.3,5086.3,8.2
England Total,,2005,87025.3,39226.2,41929.9,15778.1,2704.3,186663.9,52872.3,66353.7,7227.6,126453.6,49265.7,26824.1,34299.4,1788.8,1745.7,113923.6,2307.1,429348.1,50606.5,8.5
