Total final energy consumption at regional and local authority level: 2003 in GWh (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coal ,,,,Manufactured fuels ,,,,Petroleum products ,,,,,,Natural gas ,,,,Electricity ,,,,Renewables & Waste,,,,Consuming Sector,,
NUTS4 Code,NUTS4 Region,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Road transport,Rail,Total,,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Total,,Total,,Total,,Industry & Commercial,Domestic,Transport
UKI2301,Barnet,0.0,2.3,2.3,,0.0,5.6,5.6,,59.3,22.4,"2,189.6",18.9,"2,290.2",,981.4,"2,832.5","3,813.9",,485.5,677.1,"1,162.6",,7.6,,"7,282.2",,"1,533.9","3,539.8","2,208.5"
UKI2102,Bexley,11.3,1.0,12.3,,0.1,2.8,2.9,,173.0,16.4,"1,384.6",1.5,"1,575.5",,"1,267.6","1,765.4","3,033.0",,392.4,426.5,818.9,,0.8,,"5,443.3",,"1,845.2","2,212.1","1,386.0"
UKI2302,Brent,0.1,1.3,1.5,,0.0,3.1,3.1,,81.6,22.3,"1,108.5",7.4,"1,219.7",,838.7,"2,011.0","2,849.7",,718.4,460.4,"1,178.8",,4.0,,"5,256.8",,"1,642.9","2,498.1","1,115.9"
UKI2201,Bromley,0.5,2.3,2.8,,0.0,5.3,5.3,,139.7,23.3,"1,898.6",1.7,"2,063.3",,752.9,"2,849.1","3,602.1",,492.1,615.5,"1,107.5",,7.7,,"6,788.7",,"1,392.8","3,495.6","1,900.3"
UKI1102,Camden,0.0,0.5,0.5,,0.0,1.5,1.5,,49.9,13.9,978.3,11.1,"1,053.2",,"1,131.4",728.8,"1,860.1",,"1,342.1",361.1,"1,703.2",,8.1,,"4,626.7",,"2,531.5","1,105.9",989.4
UKI1101,City of London,0.0,0.0,0.0,,0.0,0.0,0.0,,11.2,0.6,296.1,0.0,307.9,,"1,832.5",876.1,"2,708.6",,"2,461.9",24.4,"2,486.3",,2.5,,"5,505.4",,"4,308.2",901.0,296.1
UKI2202,Croydon,0.0,2.7,2.7,,0.2,5.3,5.5,,41.6,26.2,"1,717.8",1.9,"1,787.5",,803.0,"2,744.2","3,547.2",,714.7,641.6,"1,356.4",,2.4,,"6,701.7",,"1,562.0","3,420.0","1,719.7"
UKI2303,Ealing,0.0,1.0,1.0,,0.0,3.4,3.4,,108.7,21.7,"1,533.9",45.1,"1,709.4",,"1,080.5","2,129.7","3,210.1",,711.5,528.2,"1,239.7",,4.3,,"6,167.9",,"1,905.0","2,683.9","1,579.0"
UKI2103,Enfield,0.0,2.3,2.3,,0.0,6.8,6.8,,107.9,19.7,"1,759.0",0.1,"1,886.7",,834.8,"2,189.7","3,024.5",,512.2,573.8,"1,086.0",,81.8,,"6,088.1",,"1,536.8","2,792.2","1,759.1"
UKI2104,Greenwich,1.4,0.5,1.9,,0.3,2.1,2.4,,240.7,14.6,"1,273.4",1.0,"1,529.7",,"1,099.5","1,448.7","2,548.2",,379.6,388.6,768.2,,2.8,,"4,853.2",,"1,724.3","1,854.5","1,274.4"
UKI1201,Hackney,0.0,1.3,1.3,,0.0,2.5,2.5,,16.9,19.9,786.3,1.8,824.8,,415.2,"1,089.3","1,504.5",,407.2,350.0,757.2,,3.6,,"3,094.0",,842.9,"1,463.0",788.0
UKI1103,Hammersmith and Fulham,0.0,1.3,1.3,,0.0,2.2,2.2,,61.7,13.5,739.0,5.7,819.8,,945.2,"1,264.3","2,209.5",,656.9,301.1,957.9,,8.1,,"3,998.9",,"1,671.8","1,582.5",744.6
UKI1202,Haringey,0.0,2.3,2.3,,0.0,6.2,6.2,,39.5,21.6,"1,031.6",3.0,"1,095.7",,633.7,"1,795.7","2,429.4",,439.5,424.5,864.0,,1.4,,"4,399.0",,"1,114.1","2,250.3","1,034.6"
UKI2304,Harrow,0.0,1.0,1.0,,0.0,2.5,2.5,,87.2,13.3,934.2,3.5,"1,038.2",,936.3,"1,610.2","2,546.5",,268.7,395.0,663.7,,1.0,,"4,252.9",,"1,293.2","2,022.0",937.7
UKI2105,Havering,0.0,2.3,2.3,,0.0,6.5,6.5,,93.5,18.1,"1,774.5",1.8,"1,887.9",,408.3,"1,900.8","2,309.2",,355.3,461.2,816.5,,4.1,,"5,026.6",,861.4,"2,388.9","1,776.3"
UKI2305,Hillingdon,0.0,1.5,1.5,,0.1,4.1,4.2,,196.0,21.5,"2,349.8",23.8,"2,591.1",,"1,718.2","2,200.2","3,918.4",,"1,163.3",466.5,"1,629.8",,4.7,,"8,149.6",,"3,082.3","2,693.7","2,373.6"
UKI2306,Hounslow,1.2,1.8,3.0,,0.0,4.6,4.6,,76.4,15.2,"1,868.9",1.1,"1,961.6",,"1,088.3","1,555.4","2,643.7",,853.4,392.8,"1,246.2",,1.9,,"5,861.1",,"2,021.1","1,969.9","1,870.0"
UKI1203,Islington,0.0,0.5,0.5,,0.0,1.5,1.5,,37.7,13.8,759.5,2.7,813.6,,"1,264.6","1,375.8","2,640.4",,906.6,324.3,"1,231.0",,3.2,,"4,690.3",,"2,212.1","1,715.9",762.2
UKI1104,Kensington and Chelsea,0.0,0.5,0.5,,0.0,1.5,1.5,,33.3,12.7,895.3,9.1,950.4,,"1,429.9","1,158.3","2,588.2",,"1,020.8",385.8,"1,406.6",,5.6,,"4,952.9",,"2,489.6","1,558.8",904.4
