Total final energy consumption at regional and local authority level: 2003 in GWh (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coal ,,,,Manufactured fuels ,,,,Petroleum products ,,,,,,Natural gas ,,,,Electricity ,,,,Renewables & Waste,,,,Consuming Sector,,
NUTS4 Code,NUTS4 Region,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Road transport,Rail,Total,,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Total,,Total,,Total,,Industry & Commercial,Domestic,Transport
UKJ3304,Fareham,0.9,1.8,2.8,,0.2,4.1,4.2,,80.7,29.8,816.1,0.6,927.3,,318.2,906.3,"1,224.6",,293.4,212.7,506.1,,21.5,,"2,686.5",,715.0,"1,154.8",816.7
UKJ3305,Gosport,0.0,2.1,2.1,,0.1,0.2,0.3,,42.4,6.0,201.9,0.0,250.5,,198.3,387.9,586.1,,157.9,156.1,314.0,,2.4,,"1,155.4",,401.2,552.3,202.0
UKJ4205,Gravesham,157.5,3.3,160.8,,13.3,1.4,14.7,,598.6,43.2,718.6,2.3,"1,362.7",,536.2,653.0,"1,189.2",,567.6,174.4,741.9,,137.3,,"3,606.6",,"2,010.4",875.3,720.9
UKJ2303,Guildford,0.9,4.3,5.2,,0.0,3.3,3.4,,140.0,61.0,"1,509.9",3.0,"1,713.9",,532.6,"1,049.3","1,581.9",,336.7,280.4,617.0,,30.3,,"3,951.6",,"1,040.5","1,398.3","1,512.9"
UKJ3306,Hart,4.0,3.3,7.3,,0.4,0.2,0.7,,164.7,39.4,"1,070.2",2.9,"1,277.2",,231.9,649.8,881.7,,167.5,180.8,348.3,,0.6,,"2,515.6",,569.1,873.5,"1,073.0"
UKJ2203,Hastings,0.5,4.5,5.0,,0.0,0.3,0.3,,130.8,14.4,241.6,0.3,387.1,,232.8,546.0,778.8,,164.6,175.7,340.2,,35.3,,"1,546.7",,563.9,740.9,241.9
UKJ3307,Havant,33.0,4.5,37.5,,0.0,0.3,0.3,,148.8,18.3,721.2,0.4,888.7,,255.0,861.5,"1,116.5",,259.8,240.7,500.4,,26.4,,"2,569.9",,723.0,"1,125.3",721.6
UKJ2405,Horsham,6.7,10.3,17.0,,0.0,0.7,0.8,,305.2,188.7,"1,265.0",0.1,"1,759.0",,523.2,872.1,"1,395.3",,292.9,289.2,582.1,,9.3,,"3,763.6",,"1,137.4","1,361.1","1,265.1"
UKJ3400,Isle of Wight,1.9,13.6,15.5,,0.0,1.0,1.0,,211.2,79.8,756.9,0.0,"1,047.9",,884.2,881.8,"1,766.0",,274.0,312.4,586.4,,20.3,,"3,437.0",,"1,391.6","1,288.6",756.9
UKJ2205,Lewes,2.7,8.2,10.9,,0.0,0.6,0.6,,122.3,78.6,739.3,0.0,940.2,,339.4,"1,041.0","1,380.5",,197.1,204.2,401.3,,5.9,,"2,739.3",,667.4,"1,332.6",739.3
UKJ4206,Maidstone,5.8,7.8,13.7,,0.1,0.6,0.7,,343.7,94.1,"1,723.8",4.3,"2,165.9",,517.2,"1,116.2","1,633.4",,385.9,289.3,675.2,,6.5,,"4,495.4",,"1,259.3","1,507.9","1,728.1"
UKJ4100,Medway,113.5,5.6,119.1,,0.1,6.7,6.8,,509.0,68.6,"1,188.3",4.8,"1,770.6",,582.8,"1,538.8","2,121.6",,523.1,462.4,985.5,,99.2,,"5,102.8",,"1,827.6","2,082.1","1,193.0"
UKJ2406,Mid Sussex,5.3,7.8,13.1,,0.0,0.6,0.6,,135.9,123.6,"1,547.9",1.1,"1,808.5",,237.9,775.9,"1,013.7",,245.0,280.5,525.4,,2.6,,"3,364.0",,626.7,"1,188.3","1,549.0"
UKJ1200,Milton Keynes,6.1,8.1,14.1,,0.0,5.1,5.1,,265.2,64.0,"1,896.9",9.1,"2,235.2",,909.6,"1,503.9","2,413.5",,995.8,423.1,"1,418.9",,4.3,,"6,091.2",,"2,181.0","2,004.2","1,906.1"
UKJ2304,Mole Valley,3.1,4.5,7.6,,0.0,0.3,0.3,,178.4,48.7,"1,151.8",0.8,"1,379.7",,504.1,720.6,"1,224.6",,241.8,191.6,433.4,,18.6,,"3,064.3",,946.0,965.7,"1,152.6"
UKJ3308,New Forest,21.0,16.4,37.4,,0.1,1.1,1.2,,"12,599.7",169.8,"1,733.0",8.9,"14,511.4",,772.7,"1,299.4","2,072.1",,519.4,375.9,895.3,,17.3,,"17,534.7",,"13,930.2","1,862.7","1,741.9"
UKJ1402,Oxford,2.6,4.0,6.6,,0.0,7.5,7.5,,133.5,33.5,765.3,7.2,939.4,,847.1,770.7,"1,617.9",,529.0,245.2,774.3,,12.8,,"3,358.5",,"1,525.0","1,061.1",772.4
UKJ3100,Portsmouth,5.6,3.8,9.4,,0.1,2.7,2.8,,307.8,26.4,"1,043.1",0.9,"1,378.1",,611.6,"1,171.8","1,783.4",,653.9,357.3,"1,011.2",,10.5,,"4,195.5",,"1,589.6","1,561.9","1,044.0"
UKJ1103,Reading,0.0,2.2,2.2,,0.1,3.2,3.2,,63.2,35.5,644.9,28.1,771.7,,995.5,"1,266.0","2,261.5",,569.7,287.5,857.1,,30.7,,"3,926.5",,"1,659.1","1,594.4",673.0
UKJ2305,Reigate and Banstead,0.2,3.3,3.5,,0.0,0.2,0.2,,86.0,34.8,"1,506.0",2.2,"1,629.0",,454.1,"1,107.4","1,561.5",,395.7,268.9,664.6,,16.0,,"3,874.9",,952.0,"1,414.7","1,508.2"
UKJ2206,Rother,4.6,12.7,17.3,,0.1,0.9,1.0,,167.3,141.3,785.2,1.2,"1,095.0",,329.9,540.2,870.2,,180.4,217.4,397.8,,6.7,,"2,388.0",,689.1,912.5,786.4
UKJ2312,Runnymede,0.2,3.7,3.9,,0.2,0.2,0.5,,88.1,20.8,"1,420.8",1.1,"1,530.8",,422.3,756.0,"1,178.3",,251.7,167.1,418.7,,12.0,,"3,144.2",,774.6,947.8,"1,421.8"
UKJ3310,Rushmoor,0.2,3.3,3.5,,0.0,0.2,0.2,,125.3,10.7,438.6,1.5,576.2,,144.1,246.0,390.1,,307.6,153.9,461.5,,4.9,,"1,436.5",,582.1,414.2,440.2
UKJ4207,Sevenoaks,0.7,12.0,12.7,,0.0,2.4,2.4,,119.2,124.1,"2,172.1",3.5,"2,418.8",,270.3,790.5,"1,060.8",,246.4,261.6,508.0,,43.3,,"4,046.0",,679.9,"1,190.5","2,175.6"
UKJ4208,Shepway,0.8,10.3,11.1,,4.5,0.7,5.3,,126.9,82.7,"1,012.6",0.9,"1,223.1",,253.8,758.1,"1,011.9",,528.2,213.2,741.4,,8.4,,"3,001.2",,922.7,"1,065.1","1,013.5"
UKJ1104,Slough,437.6,1.8,439.4,,0.0,4.6,4.7,,445.7,24.0,712.8,33.7,"1,216.2",,"2,212.8",729.2,"2,942.0",,315.9,196.0,511.9,,81.3,,"5,195.5",,"3,493.3",955.7,746.5
UKJ1304,South Bucks,0.2,2.1,2.3,,0.0,0.2,0.2,,70.5,17.4,"2,052.6",24.0,"2,164.4",,372.0,589.1,961.2,,230.2,155.3,385.5,,22.6,,"3,536.2",,695.6,764.0,"2,076.6"
UKJ1403,South Oxfordshire,1.4,21.4,22.8,,0.1,2.1,2.2,,210.5,218.9,"1,854.6",60.6,"2,344.6",,611.7,951.2,"1,562.8",,461.3,329.3,790.7,,2.6,,"4,725.8",,"1,287.7","1,522.9","1,915.2"
UKJ3200,Southampton,0.9,5.1,6.1,,0.0,5.5,5.5,,92.2,43.3,840.4,7.2,983.1,,845.8,"1,175.9","2,021.7",,706.4,464.5,"1,170.9",,9.4,,"4,196.6",,"1,654.9","1,694.3",847.5
UKJ2313,Spelthorne,0.2,1.3,1.6,,0.0,3.7,3.7,,137.0,18.3,865.5,0.2,"1,021.1",,248.6,591.8,840.4,,232.6,187.3,419.9,,7.3,,"2,293.9",,625.8,802.4,865.8
UKJ2308,Surrey Heath,1.2,1.2,2.4,,0.0,0.1,0.1,,61.0,14.6,"1,233.9",0.5,"1,310.1",,324.0,895.1,"1,219.1",,203.9,175.5,379.4,,8.7,,"2,919.8",,598.8,"1,086.5","1,234.5"
UKJ4209,Swale,3.9,9.1,12.9,,0.5,0.7,1.2,,279.3,55.0,"1,298.2",3.4,"1,635.9",,"1,325.5",940.1,"2,265.5",,793.7,244.1,"1,037.8",,4.3,,"4,957.7",,"2,407.2","1,248.9","1,301.7"
UKJ2309,Tandridge,3.7,3.7,7.4,,0.0,0.2,0.3,,81.8,38.1,"1,745.2",0.3,"1,865.4",,243.4,630.6,873.9,,144.4,184.2,328.7,,10.9,,"3,086.6",,484.3,856.8,"1,745.5"
UKJ3312,Test Valley,5.4,18.1,23.5,,0.8,1.3,2.1,,254.5,221.4,"1,743.4",4.8,"2,224.1",,649.1,"1,157.3","1,806.4",,305.3,254.5,559.8,,6.7,,"4,622.6",,"1,221.7","1,652.6","1,748.2"
UKJ4210,Thanet,3.3,7.8,11.1,,0.0,0.6,0.6,,184.6,25.0,622.3,0.0,831.8,,437.6,962.6,"1,400.2",,249.4,257.0,506.3,,6.7,,"2,756.7",,881.5,"1,253.0",622.3
UKJ4211,Tonbridge and Malling,72.1,8.2,80.3,,0.0,0.6,0.6,,277.1,75.0,"1,810.4",2.8,"2,165.3",,453.3,944.9,"1,398.2",,284.8,225.3,510.1,,12.1,,"4,166.7",,"1,099.5","1,254.0","1,813.2"
UKJ4212,Tunbridge Wells,4.2,11.5,15.7,,0.0,0.8,0.9,,153.6,135.1,825.4,0.9,"1,115.1",,256.8,652.1,908.9,,302.4,241.7,544.1,,16.3,,"2,601.0",,733.4,"1,041.3",826.3
UKJ1404,Vale of White Horse ,8.2,11.5,19.7,,0.1,0.8,0.9,,196.1,109.5,"1,559.6",94.4,"1,959.6",,355.1,676.4,"1,031.5",,414.5,262.9,677.3,,20.7,,"3,709.7",,994.5,"1,061.1","1,654.0"
UKJ2310,Waverley,1.4,6.6,8.0,,0.0,0.5,0.5,,70.7,79.8,820.6,0.8,971.9,,399.9,933.4,"1,333.4",,191.9,271.9,463.7,,10.9,,"2,788.4",,674.8,"1,292.2",821.4
UKJ2207,Wealden,4.0,15.2,19.1,,0.1,1.1,1.2,,236.9,236.8,"1,504.6",1.4,"1,979.7",,336.1,"1,123.8","1,459.9",,211.2,345.5,556.8,,18.4,,"4,035.1",,806.6,"1,722.4","1,506.0"
UKJ1102,West Berkshire,5.2,19.3,24.5,,0.3,1.4,1.7,,235.9,260.6,"3,449.4",61.6,"4,007.5",,452.2,782.9,"1,235.1",,551.4,355.4,906.7,,10.5,,"6,186.1",,"1,255.5","1,419.6","3,511.0"
UKJ1405,West Oxfordshire,4.9,15.2,20.1,,0.2,1.1,1.3,,158.7,157.6,976.8,4.5,"1,297.6",,226.4,523.3,749.7,,260.8,241.3,502.0,,4.0,,"2,574.6",,654.9,938.4,981.3
UKJ3313,Winchester,2.1,12.4,14.5,,0.2,0.9,1.1,,210.3,141.2,"2,228.1",15.8,"2,595.4",,261.9,626.5,888.3,,366.9,240.2,607.1,,6.2,,"4,112.5",,847.5,"1,021.2","2,243.8"
UKJ1105,Windsor and Maidenhead,1.9,5.9,7.7,,0.0,3.4,3.4,,202.9,55.6,"1,711.8",34.7,"2,005.1",,613.7,"1,112.6","1,726.3",,443.6,310.3,754.0,,5.1,,"4,501.6",,"1,267.2","1,487.9","1,746.6"
UKJ2311,Woking,3.3,2.4,5.7,,0.0,0.2,0.2,,30.2,18.2,510.5,2.1,561.1,,365.5,791.6,"1,157.1",,311.7,192.8,504.4,,3.4,,"2,231.9",,714.0,"1,005.3",512.7
UKJ1106,Wokingham,0.7,6.6,7.3,,0.0,0.5,0.5,,110.4,62.5,"1,573.6",36.1,"1,782.7",,413.4,"1,097.2","1,510.6",,369.4,309.9,679.3,,1.5,,"3,981.9",,895.4,"1,476.7","1,609.7"
UKJ2407,Worthing,0.7,2.4,3.1,,0.0,0.2,0.2,,148.4,21.9,375.9,0.2,546.4,,661.2,754.4,"1,415.6",,231.4,214.9,446.2,,10.6,,"2,422.1",,"1,052.3",993.8,376.1
UKJ1305,Wycombe,5.6,10.0,15.6,,0.0,4.0,4.1,,247.9,130.8,"1,720.9",5.6,"2,105.3",,665.5,"1,456.0","2,121.5",,414.0,360.1,774.1,,6.7,,"5,027.3",,"1,339.8","1,961.0","1,726.5"
UKJ,SOUTH EAST,"1,220.1",530.5,"1,750.6",,24.5,105.5,130.0,,"24,686.7","5,265.6","79,421.6",558.8,"109,932.7",,"34,916.7","58,159.7","93,076.4",,"22,897.9","17,218.6","40,116.6",,"1,214.0",,"246,220.2",,"84,959.9","81,279.9","79,980.4"
UKK1201,Bath and North East Somerset,18.7,19.1,37.8,,0.0,5.3,5.3,,323.6,146.6,905.5,29.2,"1,404.9",,575.0,"1,141.4","1,716.4",,438.0,368.5,806.4,,13.2,,"3,984.1",,"1,368.5","1,680.8",934.7
UKK2101,Bournemouth,0.2,7.0,7.2,,0.1,0.5,0.6,,84.1,34.8,659.7,1.8,780.4,,431.3,"1,164.6","1,595.9",,374.4,372.2,746.7,,5.9,,"3,136.7",,896.0,"1,579.1",661.5
UKK1100,"Bristol, City of",12.0,9.9,21.9,,0.2,27.2,27.4,,492.3,127.2,"1,629.7",24.8,"2,274.0",,"1,581.7","2,657.7","4,239.4",,"1,135.2",758.1,"1,893.4",,19.9,,"8,475.9",,"3,241.3","3,580.2","1,654.5"
UKK3001,Caradon,4.4,22.6,27.1,,0.0,1.6,1.7,,133.6,140.6,780.1,21.0,"1,075.2",,142.2,295.0,437.2,,143.8,224.0,367.8,,19.5,,"1,928.5",,443.6,683.9,801.1
UKK3002,Carrick,1.4,25.1,26.5,,0.0,1.8,1.8,,129.7,178.6,822.4,12.7,"1,143.4",,293.0,276.1,569.1,,181.5,249.0,430.5,,12.0,,"2,183.4",,617.7,730.6,835.1
UKK1301,Cheltenham,0.7,3.4,4.1,,0.0,3.5,3.5,,132.7,30.8,362.5,8.3,534.3,,427.8,756.5,"1,184.3",,255.4,230.0,485.3,,17.6,,"2,229.1",,834.2,"1,024.1",370.8
UKK2202,Christchurch,0.2,1.2,1.5,,0.0,0.1,0.1,,55.1,10.5,323.9,1.8,391.1,,108.8,376.3,485.2,,112.5,98.4,210.9,,12.8,,"1,101.5",,289.4,486.5,325.6
UKK1302,Cotswold,4.8,18.5,23.3,,0.4,1.3,1.7,,245.6,209.3,"1,354.2",5.5,"1,814.6",,214.6,450.4,665.0,,190.3,238.9,429.2,,44.6,,"2,978.5",,700.4,918.4,"1,359.7"
UKK4301,East Devon,2.6,18.5,21.1,,0.2,1.3,1.5,,182.7,192.4,"1,584.4",13.4,"1,972.9",,341.7,828.3,"1,170.0",,202.7,301.0,503.7,,5.8,,"3,674.9",,735.6,"1,341.5","1,597.8"
UKK2203,East Dorset,3.0,7.8,10.9,,0.2,0.6,0.8,,142.6,64.8,757.4,0.0,964.7,,148.3,636.5,784.9,,145.8,191.9,337.7,,8.9,,"2,107.8",,448.8,901.6,757.4
UKK4302,Exeter,1.3,1.8,3.2,,0.2,3.8,4.0,,101.2,32.4,460.2,14.3,608.1,,427.2,563.1,990.3,,315.9,207.3,523.2,,5.5,,"2,134.3",,851.3,808.4,474.5
UKK1303,Forest of Dean,8.1,29.5,37.6,,2.2,2.6,4.8,,307.6,216.3,712.8,6.8,"1,243.6",,354.0,372.6,726.6,,215.7,187.7,403.5,,3.1,,"2,419.2",,890.8,808.7,719.6
UKK1304,Gloucester,0.2,5.8,6.0,,0.0,0.4,0.4,,136.6,26.8,493.0,8.2,664.5,,482.7,737.9,"1,220.7",,228.6,217.2,445.8,,5.0,,"2,342.4",,853.2,988.1,501.1
UKK3007,Isles of Scilly,0.0,0.9,0.9,,0.0,0.1,0.1,,1.8,3.7,5.9,0.0,11.5,,0.0,0.0,0.0,,5.1,7.7,12.8,,0.3,,25.4,,7.1,12.4,5.9
UKK1501,Kennet,4.7,29.6,34.3,,1.1,2.1,3.2,,172.7,232.8,731.9,24.6,"1,162.0",,172.0,299.4,471.5,,189.9,228.3,418.2,,21.3,,"2,110.6",,561.8,792.3,756.5
UKK3003,Kerrier,4.2,43.6,47.8,,0.0,3.1,3.1,,139.1,213.2,724.0,6.0,"1,082.2",,185.3,347.9,533.2,,187.0,255.6,442.6,,3.5,,"2,112.4",,519.1,863.3,729.9
UKK2301,Mendip,19.2,18.5,37.7,,0.0,1.3,1.3,,378.0,174.9,945.4,11.8,"1,510.1",,420.0,461.8,881.8,,328.6,235.4,564.0,,16.5,,"3,011.5",,"1,162.4",891.8,957.2
UKK4303,Mid Devon,8.2,16.0,24.2,,0.1,1.1,1.3,,173.0,166.1,"1,331.3",32.9,"1,703.2",,260.6,251.4,512.0,,194.5,174.7,369.1,,12.5,,"2,622.3",,648.8,609.3,"1,364.2"
UKK3004,North Cornwall,13.1,31.2,44.3,,0.4,2.2,2.6,,296.9,189.3,"1,249.3",3.6,"1,739.0",,228.8,242.6,471.4,,250.0,251.7,501.7,,9.4,,"2,768.4",,798.6,717.0,"1,252.8"
UKK4304,North Devon,3.3,14.8,18.1,,1.4,1.1,2.5,,402.2,138.0,898.8,0.3,"1,439.2",,223.8,414.7,638.5,,272.6,205.4,478.0,,9.4,,"2,585.8",,912.7,774.0,899.1
UKK2204,North Dorset,3.0,12.4,15.4,,0.0,0.9,0.9,,188.9,123.6,480.8,0.7,794.1,,359.3,266.9,626.1,,149.0,155.6,304.7,,9.1,,"1,750.3",,709.4,559.4,481.5
UKK1202,North Somerset,7.9,13.9,21.9,,0.3,1.0,1.3,,352.9,161.6,"2,039.7",36.4,"2,590.5",,792.5,"1,237.5","2,030.0",,417.4,395.6,813.0,,16.9,,"5,473.6",,"1,587.9","1,809.6","2,076.1"
UKK1502,North Wiltshire,12.4,18.5,30.9,,0.3,1.3,1.6,,361.4,247.7,"2,147.4",91.2,"2,847.7",,457.8,638.5,"1,096.2",,368.3,291.8,660.0,,1.4,,"4,637.9",,"1,201.6","1,197.7","2,238.6"
UKK3005,Penwith,1.2,23.9,25.0,,2.5,1.7,4.2,,62.5,83.8,437.0,9.3,592.6,,64.8,230.3,295.1,,110.4,174.1,284.5,,8.0,,"1,209.5",,249.4,513.8,446.3
UKK4100,Plymouth,4.7,17.3,22.0,,1.0,1.2,2.2,,315.5,33.0,993.5,13.2,"1,355.3",,949.6,"1,331.0","2,280.6",,720.6,462.6,"1,183.3",,13.3,,"4,856.6",,"2,004.8","1,845.1","1,006.7"
UKK2102,Poole,3.4,5.4,8.8,,1.4,0.4,1.8,,236.2,23.4,626.7,0.4,886.7,,598.7,"1,165.2","1,763.9",,416.3,293.6,709.9,,4.8,,"3,375.9",,"1,260.9","1,487.9",627.1
UKK2206,Purbeck,2.3,7.0,9.2,,0.0,0.5,0.5,,80.4,46.1,470.8,0.0,597.3,,140.4,297.5,437.9,,112.7,104.4,217.2,,0.5,,"1,262.6",,336.3,455.5,470.8
UKK3006,Restormel,9.4,32.1,41.5,,0.0,2.3,2.3,,284.2,146.7,768.0,16.9,"1,215.9",,694.3,276.7,971.0,,259.7,266.8,526.5,,4.0,,"2,761.1",,"1,251.6",724.5,784.9
UKK1503,Salisbury,8.7,23.0,31.7,,0.0,1.6,1.6,,177.8,234.3,"1,278.2",7.4,"1,697.7",,405.4,610.0,"1,015.4",,297.6,272.7,570.3,,6.3,,"3,322.9",,895.7,"1,141.7","1,285.5"
UKK2302,Sedgemoor,14.3,25.1,39.4,,0.0,1.8,1.8,,279.6,182.9,"1,446.8",28.8,"1,938.2",,"1,093.3",533.2,"1,626.6",,302.0,257.7,559.6,,4.8,,"4,170.4",,"1,694.1","1,000.7","1,475.6"
UKK1203,South Gloucestershire,27.1,19.7,46.8,,0.0,9.0,9.0,,554.0,188.6,"3,651.0",54.5,"4,448.0",,863.5,"1,477.5","2,341.0",,728.4,498.2,"1,226.6",,12.7,,"8,084.1",,"2,185.7","2,192.9","3,705.5"
UKK4305,South Hams,5.8,16.0,21.9,,0.0,1.1,1.1,,202.1,185.0,"1,026.9",36.7,"1,450.8",,390.6,564.5,955.1,,305.9,231.1,537.0,,11.0,,"2,976.8",,915.4,997.8,"1,063.6"
UKK2303,South Somerset,19.5,41.5,61.0,,1.2,3.0,4.2,,527.4,396.3,"1,418.8",20.8,"2,363.3",,457.2,661.8,"1,118.9",,431.5,387.5,819.1,,5.0,,"4,371.5",,"1,441.9","1,490.0","1,439.6"
UKK1305,Stroud,9.5,13.9,23.5,,0.2,1.0,1.2,,440.1,118.6,"1,641.2",23.1,"2,223.0",,498.6,716.8,"1,215.4",,165.4,253.6,419.0,,12.2,,"3,894.2",,"1,125.9","1,103.9","1,664.3"
UKK1400,Swindon,1.1,9.1,10.1,,0.0,0.7,0.7,,212.9,61.8,"1,460.9",31.4,"1,767.0",,859.2,"1,143.8","2,003.0",,849.7,364.3,"1,214.0",,6.3,,"5,001.2",,"1,929.3","1,579.6","1,492.2"
UKK2304,Taunton Deane,3.5,13.6,17.1,,0.0,1.0,1.0,,170.5,133.3,"1,230.7",41.1,"1,575.5",,251.6,495.5,747.1,,231.3,230.8,462.0,,15.0,,"2,817.6",,671.8,874.1,"1,271.7"
UKK4306,Teignbridge,2.0,13.9,16.0,,0.1,1.0,1.1,,194.4,130.1,"1,713.0",46.1,"2,083.6",,372.0,627.7,999.7,,232.2,280.6,512.7,,6.1,,"3,619.2",,806.8,"1,053.3","1,759.1"
UKK1306,Tewkesbury,6.5,5.8,12.3,,0.0,0.4,0.4,,236.1,58.4,"1,655.1",16.9,"1,966.5",,298.3,382.1,680.3,,241.7,171.4,413.1,,6.3,,"3,079.0",,789.0,618.0,"1,672.0"
UKK4200,Torbay,9.4,6.1,15.5,,0.1,0.4,0.5,,317.5,29.4,507.6,1.9,856.4,,354.4,743.1,"1,097.5",,275.5,277.7,553.3,,11.2,,"2,534.4",,968.1,"1,056.8",509.4
UKK4307,Torridge,2.6,14.8,17.4,,0.0,1.1,1.1,,146.0,123.1,592.7,0.0,861.9,,121.6,230.9,352.6,,128.2,150.8,279.0,,0.5,,"1,512.5",,399.0,520.8,592.7
UKK4308,West Devon,5.6,17.3,22.8,,0.0,1.2,1.2,,157.7,113.0,791.1,0.1,"1,061.9",,218.5,242.5,460.9,,129.8,125.7,255.5,,8.8,,"1,811.2",,520.3,499.7,791.2
UKK2207,West Dorset,1.6,18.5,20.1,,0.0,1.3,1.3,,169.4,214.6,"1,067.5",1.4,"1,452.9",,189.3,523.5,712.8,,243.5,258.7,502.2,,4.9,,"2,694.3",,608.8,"1,016.6","1,068.9"
UKK2305,West Somerset,0.3,9.9,10.2,,0.0,0.7,0.7,,49.1,74.8,362.3,0.0,486.1,,400.2,126.9,527.1,,120.8,100.0,220.8,,38.7,,"1,283.7",,609.1,312.3,362.3
UKK1505,West Wiltshire,128.9,17.3,146.2,,0.1,1.2,1.4,,726.0,216.7,766.9,13.3,"1,722.8",,455.6,703.3,"1,158.9",,457.8,279.7,737.5,,80.2,,"3,847.1",,"1,848.7","1,218.2",780.2
UKK2208,Weymouth and Portland,0.2,3.3,3.5,,0.1,0.2,0.3,,40.3,19.1,228.9,0.0,288.4,,118.8,305.4,424.2,,120.0,125.4,245.5,,5.5,,967.5,,285.0,453.5,229.0
UKK,SOUTH WEST,401.4,723.7,"1,125.1",,14.4,97.2,111.6,,"10,514.0","5,874.8","45,535.6",718.6,"62,643.0",,"18,424.5","27,806.3","46,230.8",,"13,183.3","11,413.5","24,596.7",,540.3,,"135,247.6",,"43,077.9","45,915.5","46,254.2"
UKN0301,Antrim,4.0,67.4,71.4,,0.0,14.2,14.2,,288.6,212.0,940.6,0.0,"1,441.2",,..,..,..,,..,..,..,,32.9,,..,,..,..,..
UKN0302,Ards,8.1,82.8,90.9,,0.1,18.5,18.6,,151.8,382.3,531.5,0.0,"1,065.7",,..,..,..,,..,..,..,,26.7,,..,,..,..,..
UKN0501,Armagh,3.5,53.2,56.8,,0.0,13.1,13.1,,281.2,234.2,891.9,0.0,"1,407.3",,..,..,..,,..,..,..,,33.6,,..,,..,..,..
UKN0303,Ballymena,22.4,63.7,86.1,,0.0,16.0,16.1,,320.6,289.7,774.2,0.0,"1,384.5",,..,..,..,,..,..,..,,16.5,,..,,..,..,..
UKN0401,Ballymoney,0.5,32.9,33.4,,0.0,8.7,8.7,,66.2,102.5,395.2,0.0,563.9,,..,..,..,,..,..,..,,20.8,,..,,..,..,..
UKN0304,Banbridge,11.8,41.5,53.3,,0.0,9.7,9.7,,186.1,187.3,579.4,0.0,952.9,,..,..,..,,..,..,..,,16.4,,..,,..,..,..
UKN0100,Belfast,16.2,249.3,265.6,,0.1,63.7,63.8,,525.3,"1,203.1","1,101.2",0.0,"2,829.6",,..,..,..,,..,..,..,,28.4,,..,,..,..,..
UKN0201,Carrickfergus,0.0,46.1,46.1,,0.0,10.5,10.6,,24.2,187.1,173.0,0.0,384.3,,..,..,..,,..,..,..,,9.7,,..,,..,..,..
UKN0203,Castlereagh,0.2,44.7,44.9,,0.0,11.0,11.1,,68.4,332.3,289.2,0.0,689.8,,..,..,..,,..,..,..,,27.2,,..,,..,..,..
UKN0402,Coleraine,3.9,64.8,68.8,,0.1,14.7,14.8,,249.6,313.8,568.4,0.0,"1,131.7",,..,..,..,,..,..,..,,15.2,,..,,..,..,..
UKN0502,Cookstown,68.1,26.0,94.1,,0.1,12.6,12.7,,382.0,148.7,420.7,0.0,951.5,,..,..,..,,..,..,..,,81.6,,..,,..,..,..
UKN0305,Craigavon,30.7,105.6,136.3,,0.2,23.4,23.6,,748.2,280.6,700.4,0.0,"1,729.3",,..,..,..,,..,..,..,,53.0,,..,,..,..,..
UKN0403,Derry,406.0,159.6,565.6,,0.0,32.4,32.4,,256.6,312.6,602.1,0.0,"1,171.3",,..,..,..,,..,..,..,,36.8,,..,,..,..,..
UKN0306,Down,1.9,71.6,73.5,,0.0,15.9,15.9,,112.6,234.6,768.7,0.0,"1,115.8",,..,..,..,,..,..,..,,33.2,,..,,..,..,..
UKN0503,Dungannon,9.7,49.1,58.8,,0.0,12.7,12.7,,277.9,183.6,969.4,0.0,"1,430.9",,..,..,..,,..,..,..,,26.8,,..,,..,..,..
UKN0504,Fermanagh,4.0,48.6,52.6,,0.0,12.8,12.8,,338.8,243.4,"1,204.4",0.0,"1,786.6",,..,..,..,,..,..,..,,15.5,,..,,..,..,..
UKN0307,Larne,0.0,37.3,37.3,,0.0,9.1,9.1,,19.4,170.0,385.9,0.0,575.2,,..,..,..,,..,..,..,,14.1,,..,,..,..,..
UKN0404,Limavady,0.2,40.2,40.5,,0.0,10.1,10.1,,61.3,111.4,474.8,0.0,647.6,,..,..,..,,..,..,..,,36.5,,..,,..,..,..
UKN0204,Lisburn,0.2,126.0,126.3,,0.0,27.1,27.1,,109.2,462.0,"1,243.7",0.0,"1,814.8",,..,..,..,,..,..,..,,21.1,,..,,..,..,..
UKN0505,Magherafelt,2.1,35.9,38.0,,0.1,10.4,10.5,,256.0,154.5,584.3,0.0,994.8,,..,..,..,,..,..,..,,9.4,,..,,..,..,..
UKN0405,Moyle,0.5,17.4,17.9,,0.0,5.2,5.2,,25.8,84.3,288.7,0.0,398.8,,..,..,..,,..,..,..,,47.3,,..,,..,..,..
UKN0506,Newry and Mourne,7.2,80.6,87.8,,0.0,21.1,21.1,,273.9,347.4,"1,206.6",0.0,"1,827.9",,..,..,..,,..,..,..,,20.3,,..,,..,..,..
UKN0202,Newtownabbey,7.7,70.3,78.1,,0.1,16.2,16.3,,83.8,388.3,608.5,0.0,"1,080.7",,..,..,..,,..,..,..,,26.4,,..,,..,..,..
UKN0205,North Down,0.0,71.1,71.1,,0.0,15.8,15.8,,32.9,460.2,326.5,0.0,819.6,,..,..,..,,..,..,..,,22.5,,..,,..,..,..
