D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001550,Doncaster 012,,,510,450,590,430,380,490,400,350,450,350,310,400
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001551,Doncaster 013,,,520,450,600,420,370,480,390,350,440,340,300,380
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001552,Doncaster 014,,,490,430,560,430,370,490,380,330,420,330,290,380
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001553,Doncaster 015,,,520,450,600,450,390,510,390,350,440,340,300,390
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001554,Doncaster 016,,,580,510,670,480,420,550,430,380,480,400,350,450
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001555,Doncaster 017,,,610,530,700,480,420,550,450,400,510,400,350,450
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001556,Doncaster 018,,,480,420,560,410,360,470,370,320,410,310,270,350
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001557,Doncaster 019,,,560,480,640,460,400,530,420,370,480,360,320,410
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001558,Doncaster 020,,,620,540,710,510,450,590,470,410,530,430,380,490
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001559,Doncaster 021,,,690,600,790,560,490,640,480,420,540,440,390,510
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001560,Doncaster 022,,,450,390,520,370,330,430,350,310,400,310,270,350
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001561,Doncaster 023,,,450,390,520,380,330,430,370,330,420,330,290,370
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001562,Doncaster 024,,,470,410,540,420,370,480,380,340,430,360,310,400
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001563,Doncaster 025,,,610,530,700,510,450,580,460,410,520,440,390,500
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001564,Doncaster 026,,,710,620,820,570,500,650,500,440,560,470,410,540
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001565,Doncaster 027,,,760,660,870,600,520,690,540,480,610,500,440,570
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001566,Doncaster 028,,,510,440,590,420,370,480,380,340,430,320,280,360
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001567,Doncaster 029,,,520,450,600,440,380,500,380,340,430,320,280,370
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001568,Doncaster 030,,,490,420,560,410,360,470,390,340,440,350,310,390
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001569,Doncaster 031,,,480,420,550,400,340,450,380,330,430,340,300,380
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001570,Doncaster 032,,,440,380,500,390,340,450,360,320,410,330,290,380
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001571,Doncaster 033,,,590,510,680,480,420,540,430,380,490,410,360,460
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001572,Doncaster 034,,,470,410,550,410,350,460,360,320,410,320,280,360
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001573,Doncaster 035,,,500,440,580,430,370,490,390,340,430,330,290,380
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001574,Doncaster 036,,,650,560,740,520,460,600,450,400,510,410,360,470
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001575,Doncaster 037,,,470,410,540,410,360,470,360,320,400,310,270,350
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001576,Doncaster 038,,,630,550,730,520,460,600,440,390,500,400,350,450
D,Yorkshire and The Humber,,,00CE,Doncaster,,,E02001577,Doncaster 039,,,660,580,770,560,490,640,500,440,560,460,400,520
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001578,Rotherham 001,,,530,460,610,440,390,500,390,350,440,350,310,400
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001579,Rotherham 002,,,510,440,580,420,370,480,400,350,450,360,320,410
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001580,Rotherham 003,,,530,460,610,440,380,500,410,360,470,380,330,430
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001581,Rotherham 004,,,530,460,610,440,390,510,410,360,460,360,320,410
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001582,Rotherham 005,,,520,450,600,430,380,500,410,360,460,360,320,410
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001583,Rotherham 006,,,530,460,610,440,380,500,400,350,450,350,310,400
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001584,Rotherham 007,,,690,600,790,550,480,630,490,430,550,450,390,510
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001585,Rotherham 008,,,490,420,570,410,360,470,380,340,430,330,290,380
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001586,Rotherham 009,,,450,390,520,390,340,450,380,340,440,340,300,390
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001587,Rotherham 010,,,490,420,560,420,360,480,390,340,440,350,300,390
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001588,Rotherham 011,,,450,390,520,410,360,470,360,320,410,330,290,380
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001589,Rotherham 012,,,620,530,710,510,450,590,450,400,510,420,370,480
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001590,Rotherham 013,,,440,390,510,390,330,450,350,310,390,300,260,340
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001591,Rotherham 014,,,460,400,530,390,340,450,360,320,400,300,260,340
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001592,Rotherham 015,,,550,480,640,450,390,520,410,360,460,360,320,410
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001593,Rotherham 016,,,450,390,520,380,330,430,350,310,400,300,270,340
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001594,Rotherham 017,,,440,380,510,370,320,420,350,310,400,310,270,350
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001595,Rotherham 018,,,630,550,720,510,450,590,450,400,510,410,360,470
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001596,Rotherham 019,,,580,500,670,480,420,550,440,390,490,390,340,440
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001597,Rotherham 020,,,490,420,560,410,350,470,370,330,420,320,280,370
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001598,Rotherham 021,,,590,510,680,500,440,570,430,380,490,390,340,450
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001599,Rotherham 022,,,650,570,750,550,480,620,480,430,550,450,390,510
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001600,Rotherham 023,,,620,540,710,490,430,570,470,410,530,410,360,470
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001601,Rotherham 024,,,560,490,650,480,420,540,440,390,490,400,350,460
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001602,Rotherham 025,,,560,490,650,470,410,530,420,370,470,380,330,430
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001603,Rotherham 026,,,520,450,590,430,380,490,400,350,450,370,320,420
D,Yorkshire and The Humber,,,00CF,Rotherham,,,E02001604,Rotherham 027,,,590,510,680,470,410,540,430,380,490,370,320,420
