Zone Code,Zone Name,ks0150001,ks0150002,ks0150003,ks0150004,ks0150005,ks0150006,ks0150007,ks0150008,ks0150009,ks0150010,ks0150011,ks0150012,ks0150013,ks0150014,ks0150015
64,England,22441498,2055224,709386,950023,1685361,249456,12324166,1370685,116503,634588,2241901,104205,-1,2307988,1018494
,,,9.16%,3.16%,4.23%,7.51%,1.11%,54.92%,6.11%,0.52%,2.83%,9.99%,0.46%,,,
